AÑO,MES,CATEGORIA,TIPO,DISTRITO,PROVINCIA,LUGAR,SITIOTURISTICO,ACTIVIDAD,NVISITANTES,PROVENIENCIA,PRECIO
2017,febrero,convencional,exonerado,Shilla,Carhuaz,Ulta,Puntaolimpica,escaladadelnevadoOcshapalcayalnevadoVallunaraju,0,extranjero,65
2017,febrero,Aventura,Conboleto ,Shilla,Carhuaz,Ulta,Ulta,Turismo,0,nacional,30
2017,febrero,Aventura,Conboleto ,Shilla,Carhuaz,Ulta,Ulta,Turismo,0,extranjero,65
2017,febrero,Aventura,exonerado,Shilla,Carhuaz,Ulta,Ulta,Turismo,0,nacional,30
2017,febrero,Aventura,exonerado,Shilla,Carhuaz,Ulta,Ulta,Turismo,0,extranjero,65
2017,febrero,convencional,Conboleto ,Chavin ,Huaraz,Querococha,Lagunaquerocoha,escaladaalnevadoContrahierbas,0,nacional,30
2017,febrero,convencional,Conboleto ,Chavin ,Huaraz,Querococha,Lagunaquerocoha,escaladaalnevadoContrahierbas,0,extranjero,65
2017,febrero,convencional,exonerado,Chavin ,Huaraz,Querococha,Lagunaquerocoha,escaladaalnevadoContrahierbas,1561,nacional,30
2017,febrero,convencional,exonerado,Chavin ,Huaraz,Querococha,Lagunaquerocoha,escaladaalnevadoContrahierbas,149,extranjero,65
2017,febrero,convencional,Conboleto ,Caraz,Huaylas,Paron,LagunaParon,Turismo,0,nacional,30
2017,febrero,convencional,Conboleto ,Caraz,Huaylas,Paron,LagunaParon,Turismo,0,extranjero,65
2017,febrero,convencional,exonerado,Caraz,Huaylas,Paron,LagunaParon,Turismo,178,nacional,30
2017,febrero,convencional,exonerado,Caraz,Huaylas,Paron,LagunaParon,Turismo,97,extranjero,65
2017,febrero,Aventura,Conboleto ,Caraz,Huaylas,Paron,Paron,Turismo,0,nacional,30
2017,febrero,Aventura,Conboleto ,Caraz,Huaylas,Paron,Paron,Turismo,0,extranjero,65
2017,febrero,Aventura,exonerado,Caraz,Huaylas,Paron,Paron,Turismo,0,nacional,30
2017,febrero,Aventura,exonerado,Caraz,Huaylas,Paron,Paron,Turismo,0,extranjero,65
2017,febrero,Aventura,Conboleto ,Cashapampa,Sihuas,Cashapampa,Cashapampa,escaladaalnevadoArtesonraju,0,nacional,30
2017,febrero,Aventura,Conboleto ,Cashapampa,Sihuas,Cashapampa,Cashapampa,escaladaalnevadoArtesonraju,0,extranjero,65
2017,febrero,Aventura,exonerado,Cashapampa,Sihuas,Cashapampa,Cashapampa,escaladaalnevadoArtesonraju,0,nacional,30
2017,febrero,Aventura,exonerado,Cashapampa,Sihuas,Cashapampa,Cashapampa,escaladaalnevadoArtesonraju,0,extranjero,65
2017,febrero,Aventura,Conboleto ,SanMarcos,Huari,Huaripampa,Huaripampa,trekking Santa Cruz - Huaripampa,0,nacional,30
2017,febrero,Aventura,Conboleto ,SanMarcos,Huari,Huaripampa,Huaripampa,trekkingSantaCruzHuaripampa,0,extranjero,65
2017,febrero,Aventura,exonerado,SanMarcos,Huari,Huaripampa,Huaripampa,trekkingSantaCruzHuaripampa,0,nacional,30
2017,febrero,Aventura,exonerado,SanMarcos,Huari,Huaripampa,Huaripampa,trekkingSantaCruzHuaripampa,0,extranjero,65
2017,marzo,convencional,Conboleto ,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna77,trekkingSantaCruzHuaripampa,2347,nacional,30
2017,marzo,convencional,Conboleto ,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna78,trekkingSantaCruzHuaripampa,1248,extranjero,65
2017,marzo,convencional,exonerado,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna79,trekkingSantaCruzHuaripampa,231,nacional,30
2017,marzo,convencional,exonerado,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna80,trekkingSantaCruzHuaripampa,0,extranjero,65
2017,marzo,Aventura,Conboleto ,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,Turismo,1,nacional,30
2017,marzo,Aventura,Conboleto ,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,Turismo,295,extranjero,65
2017,marzo,Aventura,exonerado,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,Turismo,0,nacional,30
2017,marzo,Aventura,exonerado,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,Turismo,0,extranjero,65
2017,marzo,convencional,Conboleto ,Catac,Recuay,carpa,Pastoruri,Turismo,1467,nacional,30
2017,marzo,convencional,Conboleto ,Catac,Recuay,carpa,Pastoruri,Turismo,418,extranjero,65
2017,marzo,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Turismo,121,nacional,30
2017,marzo,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Turismo,0,extranjero,65
2017,marzo,Aventura,Conboleto ,Huaraz,Huaraz,Ishinca,PNH,Alpinismo,0,nacional,30
2017,marzo,Aventura,Conboleto ,Huaraz,Huaraz,Ishinca,PNH,Alpinismo,0,extranjero,65
2017,marzo,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,Alpinismo,0,nacional,30
2017,marzo,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,Alpinismo,0,extranjero,65
2017,marzo,convencional,Conboleto ,Acopalca,Huari,Purhuay,lagunaPurhuay,Turismo,0,nacional,30
2017,marzo,convencional,Conboleto ,Acopalca,Huari,Purhuay,lagunaPurhuay,Turismo,0,extranjero,65
2017,marzo,convencional,exonerado,Acopalca,Huari,Purhuay,lagunaPurhuay,Turismo,204,nacional,30
2017,marzo,convencional,exonerado,Acopalca,Huari,Purhuay,lagunaPurhuay,Turismo,4,extranjero,65
2017,marzo,convencional,Conboleto ,Independencia,Huaraz,Quillcayhuanca,LagunaChurup,escaladaalosnevadosdeIshinca,49,nacional,30
2017,marzo,convencional,Conboleto ,Independencia,Huaraz,Quillcayhuanca,LagunaChurup,escaladaalosnevadosdeIshinca,104,extranjero,65
2017,marzo,convencional,exonerado,Independencia,Huaraz,Quillcayhuanca,LagunaChurup,escaladaalosnevadosdeIshinca,0,nacional,30
2017,marzo,convencional,exonerado,Independencia,Huaraz,Quillcayhuanca,LagunaChurup,escaladaalosnevadosdeIshinca,0,extranjero,65
2017,marzo,Aventura,Conboleto ,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Turismo,0,nacional,30
2017,marzo,Aventura,Conboleto ,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Turismo,0,extranjero,65
2017,marzo,Aventura,exonerado,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Turismo,0,nacional,30
2017,marzo,Aventura,exonerado,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Turismo,0,extranjero,65
2017,marzo,convencional,Conboleto ,Independencia,Huaraz,Llaca,lagunaLlaca,Turismo,7,nacional,30
2017,marzo,convencional,Conboleto ,Independencia,Huaraz,Llaca,lagunaLlaca,Turismo,9,extranjero,65
2017,marzo,convencional,exonerado,Independencia,Huaraz,Llaca,lagunaLlaca,Turismo,0,nacional,30
2017,marzo,convencional,exonerado,Independencia,Huaraz,Llaca,lagunaLlaca,Turismo,0,extranjero,65
2017,marzo,Aventura,Conboleto ,Independencia,Huaraz,Llaca,Llaca,TrekingQuillcayhuanca Cojup,0,nacional,30
2017,marzo,Aventura,Conboleto ,Independencia,Huaraz,Llaca,Llaca,TrekingQuillcayhuanca Cojup,7,extranjero,65
2017,marzo,Aventura,exonerado,Independencia,Huaraz,Llaca,Llaca,TrekingQuillcayhuanca Cojup,0,nacional,30
2017,marzo,Aventura,exonerado,Independencia,Huaraz,Llaca,Llaca,TrekingQuillcayhuanca Cojup,0,extranjero,65
2017,marzo,convencional,Conboleto ,Shilla,Carhuaz,Ulta,Puntaolimpica,Turismo,140,nacional,30
2017,marzo,convencional,Conboleto ,Shilla,Carhuaz,Ulta,Puntaolimpica,Turismo,8,extranjero,65
2017,marzo,convencional,exonerado,Shilla,Carhuaz,Ulta,Puntaolimpica,Turismo,19,nacional,30
2017,marzo,convencional,exonerado,Shilla,Carhuaz,Ulta,Puntaolimpica,Turismo,0,extranjero,65
2017,marzo,Aventura,Conboleto ,Shilla,Carhuaz,Ulta,Ulta,escaladadelnevadoOcshapalcayalnevadoVallunaraju,0,nacional,30
2017,marzo,Aventura,Conboleto ,Shilla,Carhuaz,Ulta,Ulta,escaladadelnevadoOcshapalcayalnevadoVallunaraju,2,extranjero,65
2017,marzo,Aventura,exonerado,Shilla,Carhuaz,Ulta,Ulta,escaladadelnevadoOcshapalcayalnevadoVallunaraju,0,nacional,30
2017,marzo,Aventura,exonerado,Shilla,Carhuaz,Ulta,Ulta,escaladadelnevadoOcshapalcayalnevadoVallunaraju,0,extranjero,65
2017,marzo,convencional,Conboleto ,Chavin ,Huaraz,Querococha,Lagunaquerocoha,Turismo,0,nacional,30
2017,marzo,convencional,Conboleto ,Chavin ,Huaraz,Querococha,Lagunaquerocoha,Turismo,0,extranjero,65
2017,marzo,convencional,exonerado,Chavin ,Huaraz,Querococha,Lagunaquerocoha,Turismo,700,nacional,30
2017,marzo,convencional,exonerado,Chavin ,Huaraz,Querococha,Lagunaquerocoha,Turismo,87,extranjero,65
2017,marzo,convencional,Conboleto ,Caraz,Huaylas,Paron,LagunaParon,escaladaalnevadoContrahierbas,0,nacional,30
2017,marzo,convencional,Conboleto ,Caraz,Huaylas,Paron,LagunaParon,escaladaalnevadoContrahierbas,0,extranjero,65
2017,marzo,convencional,exonerado,Caraz,Huaylas,Paron,LagunaParon,escaladaalnevadoContrahierbas,71,nacional,30
2017,marzo,convencional,exonerado,Caraz,Huaylas,Paron,LagunaParon,escaladaalnevadoContrahierbas,84,extranjero,65
2017,marzo,Aventura,Conboleto ,Caraz,Huaylas,Paron,Paron,Turismo,0,nacional,30
